base_country,country,f_total,metric,x_total,z_total,delta
CAN,EST,1186742.0599147975,1132071.642806168,2084744.2145988587,952672.5717926899,-625.0583955696784
CAN,FIN,1186742.0599147968,1132731.5261946355,2083813.2834407906,951081.7572461551,-1284.941784037277
CAN,FRA,1186742.0599147968,1132374.6347489988,2083777.112120586,951402.477371587,-928.0503384005278
CAN,GBR,1186742.0599147978,1132854.442340256,2083951.9892993858,951097.54695913,-1407.857929657679
CAN,GRC,1186742.059914797,1131805.1832235062,2085220.3802269925,953415.1970034861,-358.5988129079342
CAN,HUN,1186742.0599147968,1130636.3798629905,2084178.0989819756,953541.7191189851,810.2045476078056
CAN,IDN,1186742.059914798,1129506.1264261391,2084664.241535601,955158.1151094612,1940.4579844591208
CAN,IND,1186742.0599147968,1130715.8660975127,2085565.7875210026,954849.9214234893,730.7183130856138
CAN,IRL,1186742.059914797,1132276.1236382017,2083894.252433304,951618.128795102,-829.539227603469
CAN,ITA,1186742.0599147975,1131863.3280456834,2082945.1534440205,951081.8253983378,-416.74363508517854
CAN,JPN,1186742.0599147973,1133851.3306058734,2085563.6897854526,951712.3591795788,-2404.7461952751037
CAN,KOR,1186742.0599147978,1132125.3006391334,2083396.1385168596,951270.8378777264,-678.716228535166
CAN,LTU,1186742.0599147978,1130206.8047131114,2084732.1769260794,954525.3722129682,1239.779697486898
CAN,LUX,1186742.0599147968,1133121.7634167543,2084552.4584942826,951430.6950775272,-1675.179006156046
CAN,LVA,1186742.059914797,1133039.941754716,2086944.954390161,953905.0126354458,-1593.357344117714
CAN,MEX,1186742.0599147975,1131296.4131411826,2084987.4791105723,953691.0659693902,150.17126941564493
CAN,MLT,1186742.0599147978,1130739.469752165,2084639.7947243666,953900.324972201,707.1146584332455
CAN,NLD,1186742.059914797,1133337.977704305,2084918.0101845101,951580.0324802059,-1891.3932937067002
CAN,POL,1186742.0599147975,1132177.6329421694,2085228.3314987586,953050.6985565888,-731.0485315711703
CAN,PRT,1186742.059914797,1131438.1028848137,2083070.5407578414,951632.4378730278,8.481525784591213
CAN,ROU,1186742.0599147968,1130944.9068222577,2085477.6226653096,954532.715843052,501.6775883405935
CAN,RUS,1186742.059914797,1130021.8343264707,2083733.811917843,953711.9775913721,1424.7500841275323
CAN,SVK,1186742.0599147975,1130509.8023637962,2083523.0675937224,953013.2652299263,936.7820468021091
CAN,SVN,1186742.0599147975,1131497.7485526854,2083878.8886196385,952381.1400669533,-51.164142087101936
CAN,SWE,1186742.0599147975,1132636.1339953123,2083967.2324128982,951331.0984175857,-1189.5495847139973
CAN,TUR,1186742.0599147973,1129805.8136660834,2082371.8104144102,952565.996748327,1640.7707445148844
CAN,TWN,1186742.0599147978,1130923.7166787162,2085328.043091874,954404.3264131575,522.8677318820264
CAN,USA,1186742.0599147978,1133664.2244535359,2086326.3774266767,952662.1529731405,-2217.6400429375935
CHN,AUS,2844277.5064342576,3569595.026887593,9829868.440261101,6260273.413373506,2472.896437215619
CHN,AUT,2844277.5064342576,3569431.853889367,9834478.222485356,6265046.368595991,2636.069435441401
CHN,BEL,2844277.5064342576,3570063.7388860174,9833502.869349206,6263439.130463187,2004.184438791126
CHN,BGR,2844277.50643426,3571561.527443328,9834587.70511561,6263026.177672282,506.39588148053735
CHN,BRA,2844277.506434258,3569808.9969605757,9836218.912820848,6266409.915860271,2258.926364232786
CHN,CAN,2844277.506434258,3570972.2293900135,9834141.874379257,6263169.644989243,1095.693934794981
CHN,CYP,2844277.506434258,3571097.230391168,9830357.837648064,6259260.607256892,970.6929336404428
CHN,CZE,2844277.5064342576,3569269.464445931,9839106.067585062,6269836.603139133,2798.4588788775727
CHN,DEU,2844277.506434258,3569221.2336687185,9835063.853826351,6265842.620157631,2846.6896560899913
CHN,DNK,2844277.506434258,3571052.380829495,9835152.726683429,6264100.345853931,1015.5424953135662
CHN,ESP,2844277.5064342576,3569639.2560810414,9837879.033716606,6268239.777635559,2428.667243767064
CHN,EST,2844277.5064342576,3569603.543447452,9835059.334766783,6265455.791319328,2464.3798773563467
CHN,FIN,2844277.506434258,3570498.530876016,9834798.770602528,6264300.239726513,1569.3924487926997
CHN,FRA,2844277.506434257,3569105.7061250806,9831833.779590134,6262728.073465052,2962.217199727893
CHN,GBR,2844277.506434257,3569689.5568223135,9834148.077639561,6264458.520817249,2378.366502495017
CHN,GRC,2844277.5064342585,3569508.815408,9832485.073513364,6262976.2581053665,2559.107916808687
CHN,HUN,2844277.5064342576,3568283.833854583,9839985.088277176,6271701.254422592,3784.0894702253863
CHN,IDN,2844277.5064342576,3569744.432844269,9844521.312470783,6274776.8796265125,2323.490480539389
CHN,IND,2844277.506434258,3571316.8782212585,9835287.424258035,6263970.546036774,751.0451035499573
CHN,IRL,2844277.5064342585,3570407.532052088,9839137.873536102,6268730.341484013,1660.3912727204151
CHN,ITA,2844277.506434257,3567421.4862619154,9830399.368259275,6262977.881997364,4646.437062893063
CHN,JPN,2844277.5064342576,3572336.074051215,9831540.361223502,6259204.287172289,-268.15072640636936
CHN,KOR,2844277.5064342567,3570872.7173938816,9836743.346138332,6265870.628744455,1195.205930926837
CHN,LTU,2844277.506434258,3567381.557216549,9839181.8797001,6271800.322483551,4686.366108259652
CHN,LUX,2844277.5064342576,3570095.8139601382,9832426.473574247,6262330.659614108,1972.1093646702357
CHN,LVA,2844277.506434258,3571260.4372302988,9829740.14698969,6258479.709759394,807.4860945097171
CHN,MEX,2844277.506434258,3569859.158090802,9832145.966397472,6262286.808306672,2208.765234006569
CHN,MLT,2844277.5064342557,3568562.708100765,9842150.747822633,6273588.039721871,3505.215224043466
CHN,NLD,2844277.5064342576,3570209.71789207,9834061.487061175,6263851.769169105,1858.2054327386431
CHN,POL,2844277.5064342576,3568345.460451107,9829517.714022208,6261172.253571104,3722.462873701472
CHN,PRT,2844277.506434257,3566590.264785325,9831326.003342602,6264735.738557278,5477.658539483324
CHN,ROU,2844277.506434258,3569934.6070073014,9838547.776898991,6268613.169891687,2133.316317507066
CHN,RUS,2844277.506434258,3569328.8650345025,9839273.678618973,6269944.813584468,2739.058290306013
CHN,SVK,2844277.506434258,3568250.722875251,9838780.328830643,6270529.60595539,3817.2004495575093
CHN,SVN,2844277.5064342567,3567943.738257724,9834475.615725929,6266531.877468202,4124.185067084618
CHN,SWE,2844277.5064342576,3570370.12142456,9839550.682654135,6269180.561229574,1697.801900248509
CHN,TUR,2844277.5064342567,3570959.1611574665,9839688.830599872,6268729.669442403,1108.7621673420072
CHN,TWN,2844277.506434257,3569036.086984335,9837046.46711615,6268010.380131813,3031.836340473499
CHN,USA,2844277.506434258,3571671.1867299657,9833067.714142064,6261396.527412099,396.73659484274685
CYP,AUS,21318.212886253987,43141.31593796135,71551.58669433078,28410.2707563694,11.96399374264729
CYP,AUT,21318.212886253987,43120.53048669363,71528.58325046851,28408.05276377489,32.74944501036953
CYP,BEL,21318.21288625399,43129.63546590035,71514.84936464623,28385.213898745864,23.644465803648927
CYP,BGR,21318.212886253987,43107.596676372996,71532.9903235189,28425.3936471459,45.68325533100142
CYP,BRA,21318.21288625399,43099.007950443614,71478.27277860123,28379.264828157622,54.271981260382745
CYP,CAN,21318.212886253987,43103.95234185275,71472.9235837513,28368.971241898544,49.32758985124383
CYP,CHN,21318.212886253983,43111.24468813374,71520.76427871786,28409.519590584157,42.0352435702589
CYP,CZE,21318.212886253994,43068.7155619769,71454.58750356341,28385.871941586527,84.56436972710071
CYP,DEU,21318.21288625399,43111.312809302806,71496.32792695396,28385.01511765118,41.96712240119086
